Sample #,Fx,Fy,Fz,Mx,My,Mz,RTA,RSO,LTA,LSO,GO
7240,0,0,0,0,0,0,0.005891,-0.016935,0.025161,0.08157,0.001785
7241,0,0,0,0,0,0,0.003984,-0.016821,0.024436,0.138066,0.001862
7242,0,0,0,0,0,0,0.004289,-0.00244,0.017227,0.066122,0.001556
7243,0,0,0,0,0,0,0.008676,0.006372,0.010322,-0.016695,0.001137
7244,0,0,0,0,0,0,0.003908,-0.00881,-0.001427,-0.042216,0.001137
7245,0,0,0,0,0,0,0.105263,-0.011595,-0.000817,-0.086657,0.000984
7246,0,0,0,0,0,0,0.105035,-0.018537,-0.013977,0.021336,0.002319
7247,0,0,0,0,0,0,0.108354,-0.025671,-0.017067,0.020879,0.000031
7248,0,0,0,0,0,0,0.100305,-0.022085,-0.049301,-0.068537,0.001289
7249,0,0,0,0,0,0,-0.117856,-0.013159,-0.061966,-0.099398,0.002319
7250,0,0,0,0,0,0,-0.241491,-0.020445,-0.071351,-0.093295,0.001633
7251,0,0,0,0,0,0,-0.138801,-0.012777,-0.047661,0.002263,0.000069
7252,0,0,0,0,0,0,-0.007232,0.001032,-0.026375,0.089085,0.001518
7253,0,0,0,0,0,0,0.099351,0.001184,0.002616,0.078367,0.001862
7254,0,0,0,0,0,0,0.04812,0.003664,0.023368,0.167439,0.001518
